Province,Year,GHI_kWh_m2_day,GHI_Annual_kWh_m2_year,T2M,RH2M,WS2M,PRECTOT
Cần Thơ,2024.0,18.29583333333333,6677.979166666667,28.27916666666667,79.68416666666667,2.4725,
Huế,2015.0,16.570833333333333,6048.354166666667,25.750833333333333,80.98166666666667,2.3916666666666666,
Huế,2016.0,14.6325,5340.8625,25.79583333333333,81.34,2.521666666666667,
Huế,2017.0,14.505,5294.325,25.016666666666666,86.1225,2.5125,
Huế,2018.0,15.258333333333333,5569.291666666667,24.849166666666665,84.94500000000001,2.523333333333333,
Huế,2019.0,16.305,5951.325,25.736666666666665,83.64916666666666,2.4250000000000003,
Huế,2019.5,15.398,5620.27,25.395,84.104,2.493,
Huế,2020.0,15.705833333333333,5732.629166666667,25.545,83.49083333333333,2.565,
Huế,2021.0,15.667500000000002,5718.6375,24.870833333333334,85.20916666666666,2.6183333333333336,
Huế,2022.0,14.813333333333333,5406.866666666667,24.855833333333333,86.07,2.48,
Huế,2023.0,15.365833333333333,5608.529166666666,25.508333333333336,85.13250000000001,2.450833333333333,
Huế,2024.0,15.181666666666668,5541.308333333333,25.855,84.235,2.4516666666666667,
Hà Nội,2015.0,13.850833333333334,5055.554166666667,23.89583333333333,82.98416666666667,1.7175,
Hà Nội,2016.0,13.988333333333337,5105.741666666667,23.3625,82.415,1.71,
Hà Nội,2017.0,12.65,4617.25,23.38083333333333,83.365,1.6858333333333333,
Hà Nội,2018.0,13.194166666666668,4815.870833333333,23.25,83.94666666666667,1.7283333333333335,
Hà Nội,2019.0,13.510833333333332,4931.454166666667,24.0825,84.30416666666666,1.6616666666666664,
Hà Nội,2019.5,13.449000000000002,4908.885,23.586,83.656,1.733,
Hà Nội,2020.0,13.220833333333331,4825.604166666667,23.40083333333333,84.90083333333332,1.8666666666666665,
Hà Nội,2021.0,13.7175,5006.8875,23.368333333333336,84.00666666666667,1.76,
Hà Nội,2022.0,13.141666666666666,4796.708333333333,22.9075,84.76833333333333,1.7141666666666666,
Hà Nội,2023.0,14.013333333333334,5114.866666666667,23.88083333333333,82.72833333333334,1.695,
Hà Nội,2024.0,13.048333333333334,4762.641666666666,24.13416666666667,83.04333333333334,1.8025,
Hải Phòng,2015.0,14.215000000000002,5188.474999999999,23.757500000000004,84.0275,2.3633333333333333,
Hải Phòng,2016.0,13.978333333333332,5102.091666666667,23.15,83.82166666666667,2.308333333333333,
Hải Phòng,2017.0,13.219166666666666,4824.995833333333,23.255,84.05,2.33,
Hải Phòng,2018.0,13.884166666666667,5067.720833333334,23.1625,83.88666666666667,2.28,
Hải Phòng,2019.0,14.141666666666666,5161.708333333333,24.019166666666667,84.65666666666667,2.2741666666666664,
Hải Phòng,2019.5,13.968,5098.32,23.506,83.994,2.365,
